,id_oke,wojewodztwo,powiat,powiat_kod,liczba_zdajacych,wynik_avg,wynik_std,wynik_mediana,wynik_modalna,klasa_avg,wynagrodzenie_median
183,4,Warmińsko-Mazurskie,olsztyński,2814000,634,59.84700315457413,30.42470561630969,62.0,98,17,6438.23
184,4,Warmińsko-Mazurskie,ostródzki,2815000,501,57.796407185628745,30.13731824770648,56.0,96,17,5922.68
185,4,Warmińsko-Mazurskie,piski,2816000,236,54.652542372881356,29.75261763691061,48.0,98,15,6045.61
186,4,Warmińsko-Mazurskie,szczycieński,2817000,277,54.64981949458484,29.696602565588822,47.0,24,16,5857.58
187,4,Warmińsko-Mazurskie,węgorzewski,2819000,112,62.38392857142857,29.374504717926218,66.0,18,15,6298.83
188,5,Łódzkie,bełchatowski,1001000,617,64.6353322528363,30.036686098196142,71.0,98,19,6930.06
189,5,Łódzkie,brzeziński,1021000,152,60.31578947368421,30.199647316830394,60.0,96,17,6066.17
190,5,Łódzkie,kutnowski,1002000,421,57.66745843230404,31.3855589657519,56.0,96,17,6283.84
191,5,Łódzkie,opoczyński,1007000,499,57.567134268537075,29.469950083429886,58.0,98,15,5913.59
192,5,Łódzkie,pabianicki,1008000,585,69.97094017094017,27.912271172766673,82.0,100,21,6273.49
193,5,Łódzkie,pajęczański,1009000,135,60.577777777777776,30.673300409716123,65.0,96,16,5996.55
194,5,Łódzkie,piotrkowski,1010000,523,61.363288718929255,29.285793420341175,65.0,98,16,5984.77
196,5,Łódzkie,poddębicki,1011000,126,56.92857142857143,31.129065316565374,54.0,24,17,6246.91
197,5,Łódzkie,radomszczański,1012000,475,61.29684210526316,30.171549696366807,65.0,98,17,5838.2
198,5,Łódzkie,rawski,1013000,313,61.843450479233226,29.513268206601055,65.0,100,16,6084.52
199,5,Łódzkie,sieradzki,1014000,505,61.77821782178218,29.5969345614998,65.0,98,16,5967.4
201,5,Łódzkie,skierniewicki,1015000,233,61.88841201716738,29.06401833635523,69.0,98,12,6217.16
202,5,Łódzkie,tomaszowski,1016000,579,60.65112262521589,29.568384097172956,62.0,98,20,6013.84
203,5,Łódzkie,wieluński,1017000,240,57.24166666666667,29.723866906728148,53.0,96,15,5745.31
204,5,Łódzkie,wieruszowski,1018000,132,53.378787878787875,30.649170808653782,44.0,20,13,5530.68
205,5,Łódzkie,zduńskowolski,1019000,266,61.82706766917293,30.997455941739513,69.0,96,19,5963.79
206,5,Łódzkie,zgierski,1020000,818,66.90097799511003,29.38919722396229,78.0,98,20,6438.13
207,5,Łódzkie,łaski,1003000,213,55.46478873239437,30.092111011744564,53.0,98,18,6011.08
208,5,Łódzkie,łowicki,1005000,373,60.710455764075064,30.040934058301644,65.0,98,16,6256.53
209,5,Łódzkie,łódzki wschodni,1006000,492,67.8760162601626,28.031175914581386,76.0,98,20,6560.41
211,5,Łódzkie,łęczycki,1004000,232,52.64655172413793,29.56137808554077,44.5,24,16,6258.48
212,5,Świętokrzyskie,buski,2601000,375,63.648,30.047319836107395,67.0,96,17,5974.46
213,5,Świętokrzyskie,jędrzejowski,2602000,337,63.38278931750742,30.299867309697678,73.0,96,14,6076.31
214,5,Świętokrzyskie,kazimierski,2603000,145,55.275862068965516,30.25078688258304,47.0,24,15,5812.3
216,5,Świętokrzyskie,kielecki,2604000,1179,65.35368956743002,28.49533853892881,73.0,98,15,5926.68
217,5,Świętokrzyskie,konecki,2605000,292,62.445205479452056,30.37697641620468,69.0,96,16,5659.92
218,5,Świętokrzyskie,opatowski,2606000,244,54.442622950819676,29.357756307579276,45.0,24,15,5979.11
219,5,Świętokrzyskie,ostrowiecki,2607000,381,59.15223097112861,30.946621159094253,62.0,96,17,5870.09
220,5,Świętokrzyskie,pińczowski,2608000,186,55.17741935483871,28.158264811796176,49.0,27,14,6129.81
221,5,Świętokrzyskie,sandomierski,2609000,375,60.216,29.91309652978107,64.0,96,13,6240.63
222,5,Świętokrzyskie,skarżyski,2610000,272,64.61397058823529,30.628734280838206,75.0,96,17,6488.17
223,5,Świętokrzyskie,starachowicki,2611000,408,64.75490196078431,28.501268040077594,70.0,98,14,6139.22
224,5,Świętokrzyskie,staszowski,2612000,322,60.82919254658385,30.18275625459705,60.0,96,15,6233.93
225,5,Świętokrzyskie,włoszczowski,2613000,137,56.37956204379562,27.686496059302467,53.0,96,15,6227.63
226,6,Lubuskie,gorzowski,801000,377,60.46949602122016,30.22339017282987,64.0,98,17,6556.67
228,6,Lubuskie,krośnieński,802000,160,59.03125,28.743351812854048,57.0,96,18,6402.56
229,6,Lubuskie,międzyrzecki,803000,162,59.03086419753087,31.641983136080885,60.0,98,19,6153.81
230,6,Lubuskie,nowosolski,804000,335,59.72835820895522,31.2290660914846,62.0,96,20,6317.72
231,6,Lubuskie,strzelecko-drezdenecki,806000,158,55.13291139240506,30.269904933586282,53.0,96,16,6056.31
232,6,Lubuskie,sulęciński,807000,195,55.58974358974359,31.2297671516217,53.0,98,18,6299.49
233,6,Lubuskie,słubicki,805000,195,59.08717948717949,30.378764339813728,64.0,98,20,6364.19
234,6,Lubuskie,wschowski,812000,127,51.039370078740156,29.003774279183812,47.0,16,16,5996.19
236,6,Lubuskie,zielonogórski,809000,299,57.07692307692308,30.164833163193748,53.0,95,18,6376.18
237,6,Lubuskie,świebodziński,808000,172,56.883720930232556,30.170800069808433,55.5,96,19,6412.7
238,6,Lubuskie,żagański,810000,237,52.48523206751055,30.04323174143141,47.0,22,17,6289.25
239,6,Lubuskie,żarski,811000,299,63.05351170568562,30.53859577894061,73.0,98,18,6355.47
240,6,Wielkopolskie,chodzieski,3001000,200,54.58,31.058551157450985,47.0,95,18,5827.52
241,6,Wielkopolskie,czarnkowsko-trzcianecki,3002000,310,49.86129032258064,30.383305872706174,37.0,25,16,6059.37
242,6,Wielkopolskie,gnieźnieński,3003000,574,61.109756097560975,30.7640250264658,65.0,98,19,6125.91
243,6,Wielkopolskie,gostyński,3004000,232,53.65948275862069,29.658843184500746,47.0,27,19,6164.46
244,6,Wielkopolskie,grodziski,3005000,178,62.662921348314605,29.948248929405437,71.0,98,17,5929.58
245,6,Wielkopolskie,jarociński,3006000,265,55.24905660377358,31.328783694699183,47.0,98,18,5715.12
246,6,Wielkopolskie,kaliski,3007000,413,56.82566585956417,29.793130492726508,51.0,98,15,5789.99
248,6,Wielkopolskie,kolski,3009000,526,59.3574144486692,28.712976030959727,56.0,96,15,6187.44
250,6,Wielkopolskie,koniński,3010000,569,57.838312829525485,29.875580449106423,60.0,96,14,5978.54
251,6,Wielkopolskie,kościański,3011000,253,56.36363636363637,29.356238131130528,53.0,24,20,6082.82
252,6,Wielkopolskie,krotoszyński,3012000,246,54.8130081300813,29.44026599205348,49.0,18,17,6054.73
253,6,Wielkopolskie,kępiński,3008000,182,57.137362637362635,29.893728065594345,55.0,95,18,5277.53
254,6,Wielkopolskie,leszczyński,3013000,197,60.233502538071065,30.135165798141315,62.0,24,19,6022.41
256,6,Wielkopolskie,międzychodzki,3014000,110,51.28181818181818,28.844766917283216,45.5,22,20,5716.3
257,6,Wielkopolskie,nowotomyski,3015000,304,53.411184210526315,31.34011228555714,44.5,98,18,6172.1
258,6,Wielkopolskie,obornicki,3016000,343,57.6530612244898,31.005863937336507,58.0,98,19,5908.88
259,6,Wielkopolskie,ostrowski,3017000,644,61.672360248447205,30.37329521357686,69.0,96,17,5883.48
260,6,Wielkopolskie,ostrzeszowski,3018000,251,57.96414342629482,28.262477573788743,56.0,29,17,5554.11
261,6,Wielkopolskie,pilski,3019000,624,63.0625,31.0042532881398,71.0,98,19,6227.77
262,6,Wielkopolskie,pleszewski,3020000,274,57.481751824817515,30.146988371643616,52.0,96,16,5667.43
264,6,Wielkopolskie,poznański,3021000,2477,73.62414210738797,27.336825144914418,87.0,98,20,7260.76
265,6,Wielkopolskie,rawicki,3022000,197,59.08629441624365,30.196608963054675,60.0,98,20,5940.9
266,6,Wielkopolskie,szamotulski,3024000,391,55.78005115089514,30.20835932134362,51.0,100,20,6194.14
267,6,Wielkopolskie,słupecki,3023000,283,61.48409893992933,30.02582389399464,64.0,98,17,6001.62
268,6,Wielkopolskie,turecki,3027000,386,62.92227979274612,28.701413931057886,67.0,98,17,5568.54
269,6,Wielkopolskie,wolsztyński,3029000,275,56.67272727272727,29.125967511330405,51.0,25,18,5824.79
270,6,Wielkopolskie,wrzesiński,3030000,343,62.75218658892128,30.376833271294217,69.0,98,19,6351.28
271,6,Wielkopolskie,wągrowiecki,3028000,303,51.320132013201324,29.69892638405319,44.0,20,18,5930.37
272,6,Wielkopolskie,złotowski,3031000,316,53.95253164556962,32.09204956822648,42.0,98,18,5922.79
273,6,Wielkopolskie,średzki,3025000,341,59.002932551319645,29.623294564294465,60.0,98,19,6181.55
274,6,Wielkopolskie,śremski,3026000,275,57.09818181818182,30.75949810980248,55.0,96,19,5948.04
275,6,Zachodniopomorskie,białogardzki,3201000,179,47.11173184357542,30.837632578300138,35.0,20,18,6060.54
276,6,Zachodniopomorskie,choszczeński,3202000,171,51.52046783625731,29.95988334936312,44.0,25,17,6055.96
277,6,Zachodniopomorskie,drawski,3203000,219,52.922374429223744,30.112246660259277,44.0,24,18,5920.52
278,6,Zachodniopomorskie,goleniowski,3204000,425,59.97882352941176,30.384160324351843,65.0,96,18,6518.93
279,6,Zachodniopomorskie,gryficki,3205000,282,60.40070921985816,30.994835983644695,66.0,98,17,6022.88
280,6,Zachodniopomorskie,gryfiński,3206000,271,55.8929889298893,30.543169900939617,51.0,96,16,6376.88
